_id,name,country,aqi,pm25,pm10,no2,co,o3,so2,humidity,temperature,wind,update_time,lat,lon,saved_at,population,area
67f28db831e5b5c4a16c13ce,Thừa Thiên Huế,Vietnam,45,45,29,6,13,3,26,100,22,1.2,2025-04-06 19:00:00,16.4667,107.5833,21:20 06/04/2025,,
67f28db831e5b5c4a16c13d0,Gia Lai,Vietnam,59,38,59,105,22,5,54,N/A,-19.4,41.5,2025-04-06 20:00:00,13.9833,108,21:20 06/04/2025,,
67f28db831e5b5c4a16c13d1,Ninh Bình,Vietnam,88,88,60,17,7,1,7,88,22,2,2025-04-06 20:00:00,20.25,105.9667,21:20 06/04/2025,,
67f28db831e5b5c4a16c13cf,Sơn La,Vietnam,5,5,4,N/A,N/A,N/A,N/A,79.6,22.3,1,2025-04-06 19:00:00,21.3167,103.9167,21:20 06/04/2025,,
67f28db831e5b5c4a16c13d2,Hưng Yên,Vietnam,56,56,34,2,0,14,1,N/A,N/A,N/A,2025-04-06 21:00:00,20.6464,106.0511,21:20 06/04/2025,,
67f28db831e5b5c4a16c13d3,Việt Trì,Vietnam,100,100,59,19,N/A,13,12,85.5,22.5,2.5,2025-04-06 21:00:00,21.301,105.401,21:20 06/04/2025,,
67f28db831e5b5c4a16c13d4,Thái Nguyên,Vietnam,163,163,67,12,7,N/A,3,83,23,2.5,2025-04-06 20:00:00,21.5928,105.8442,21:20 06/04/2025,,
67f28db831e5b5c4a16c13d7,Quảng Ninh,Vietnam,56,56,42,17,N/A,2,6,85.5,22.5,2.5,2025-04-06 21:00:00,20.9511,107.0789,21:20 06/04/2025,,
67f28db831e5b5c4a16c13d5,Nghệ An,Vietnam,88,88,62,57,9,2,42,90.1,21.9,1,2025-04-06 19:00:00,18.6667,105.6667,21:20 06/04/2025,,
67f28db831e5b5c4a16c13d6,Tp Hồ Chí Minh,Vietnam,10,4,10,N/A,N/A,N/A,N/A,68,28.8,5.8,2025-04-06 20:00:00,10.7769,106.7009,21:20 06/04/2025,,
67f28db831e5b5c4a16c13dc,Khánh Hòa,Vietnam,15,6,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 21:00:00,12.25,109.1833,21:20 06/04/2025,,
67f28db831e5b5c4a16c13db,Quảng Nam,Vietnam,73,73,43,0,0,15,1,N/A,N/A,N/A,2025-04-06 21:00:00,15.5678,108.4792,21:20 06/04/2025,,
67f28db831e5b5c4a16c13de,Bình Định,Vietnam,63,63,111,8,0,4,0,N/A,N/A,N/A,2025-04-06 21:00:00,13.7765,109.2237,21:20 06/04/2025,,
67f28db831e5b5c4a16c13dd,Lâm Đồng,Vietnam,130,130,68,6,0,5,0,N/A,N/A,N/A,2025-04-06 21:00:00,11.9404,108.4585,21:20 06/04/2025,,
67f28db831e5b5c4a16c13da,Đà Nẵng,Vietnam,106,106,73,N/A,N/A,N/A,N/A,80.5,23.5,0.2,2025-04-04 09:00:00,16.06,108.2208,21:20 06/04/2025,,
67f28db831e5b5c4a16c13df,Ninh Thuận,Vietnam,48,48,25,0,0,8,1,N/A,N/A,N/A,2025-04-06 21:00:00,11.5667,108.9833,21:20 06/04/2025,,
67f28db831e5b5c4a16c13e0,Bình Phước,Vietnam,17,17,10,0,0,11,0,N/A,N/A,N/A,2025-04-06 21:00:00,11.4833,106.9167,21:20 06/04/2025,,
67f28db931e5b5c4a16c13e1,"Hedevej, Frederiks",Denmark,2,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 15:11:31,55.5667,11.4167,21:20 06/04/2025,,
67f28db931e5b5c4a16c13e2,H.C. Ørsted Institutet,Denmark,37,N/A,N/A,1.4,1.2,37.1,N/A,48.5,8.8,0.2,2025-04-06 14:00:00,55.6969,12.5596,21:20 06/04/2025,,
67f28db831e5b5c4a16c13d9,Bắc Giang,Vietnam,94,94,63,0,0,9,4,N/A,N/A,N/A,2025-04-06 21:00:00,21.2732,106.1947,21:20 06/04/2025,,
67f28db931e5b5c4a16c13e4,Risø,Denmark,37,N/A,4,0.4,1.3,36.7,N/A,37.3,8.6,6.8,2025-04-06 14:00:00,55.6931,12.099,21:20 06/04/2025,,
67f28db931e5b5c4a16c13e3,"Møllen, Skanderborg",Denmark,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 15:15:03,56.0349,9.9272,21:20 06/04/2025,,
67f28db931e5b5c4a16c13e6,"Udsigten, Morud",Denmark,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 15:13:57,55.2667,10.5167,21:20 06/04/2025,,
67f28db931e5b5c4a16c13e5,"Vardevej, Tarm",Denmark,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 15:15:09,55.9083,8.5194,21:20 06/04/2025,,
67f28db931e5b5c4a16c13e9,"Kjærslund, Aarhus",Denmark,2,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 15:13:42,56.1567,10.2108,21:20 06/04/2025,,
67f28db931e5b5c4a16c13e8,"Midtvej, Hobro",Denmark,8,8,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 15:13:17,56.6431,9.7939,21:20 06/04/2025,,
67f28db931e5b5c4a16c13e7,"Møllebjergvej, Rudkøbing",Denmark,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 15:16:24,54.9404,10.7096,21:20 06/04/2025,,
67f28db931e5b5c4a16c13ea,H.C.Andersens Boulevard,Denmark,33,30,16,2.3,1.7,32.7,0.2,51.5,9.1,0.2,2025-04-06 14:00:00,55.6759,12.5727,21:20 06/04/2025,,
67f28db831e5b5c4a16c13d8,Thái Bình,Vietnam,18,18,13,2,0,6,0,N/A,N/A,N/A,2025-04-06 21:00:00,20.4467,106.3366,21:20 06/04/2025,,
67f28db931e5b5c4a16c13eb,"Rådhus, Odense",Denmark,18,N/A,N/A,1,N/A,18,N/A,N/A,N/A,N/A,2025-04-06 12:00:00,55.3962,10.3883,21:20 06/04/2025,,
67f28db931e5b5c4a16c13ec,"Bøgehegnet, Greve Strand",Denmark,2,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 15:16:18,55.5833,12.3,21:20 06/04/2025,,
67f28db931e5b5c4a16c13ed,"Østerbro, Aalborg",Denmark,18,N/A,N/A,1,N/A,18,N/A,N/A,N/A,N/A,2025-04-06 13:00:00,57.0488,9.9217,21:20 06/04/2025,,
67f34e43b934fc4abad823c0,Long An,Vietnam,57,57,28,4,0,13,1,N/A,N/A,N/A,2025-04-07 10:00:00,10.5333,106.4167,11:02 07/04/2025,,
67f34e42b934fc4abad823bd,Thanh Hoá,Vietnam,21,21,12,N/A,3,N/A,26,97,20.5,1,2025-04-07 10:00:00,19.807,105.776,11:02 07/04/2025,,
67f34e42b934fc4abad823be,Quảng Bình,Vietnam,58,58,35,111,3,3,3,98.2,21.2,1,2025-04-07 10:00:00,17.4656,106.6222,11:02 07/04/2025,,
67f34e42b934fc4abad823b8,Nha Trang,Vietnam,58,58,39,10,4,10,72,83,25,2,2025-04-07 04:00:00,12.2388,109.1967,11:02 07/04/2025,,
67f34e42b934fc4abad823bb,Vũng Tàu,Vietnam,41,41,30,7,4,20,3,57.7,31.6,4.7,2025-04-07 10:00:00,10.346,107.0843,11:02 07/04/2025,,
67f34e42b934fc4abad823ba,Hà Nội,Vietnam,154,154,71,4,0,3,1,N/A,N/A,N/A,2025-04-07 10:00:00,21.0044,105.8432,11:02 07/04/2025,,
67f34e43b934fc4abad823bf,Bình Dương,Vietnam,52,50,52,3,0,10,0,N/A,N/A,N/A,2025-04-07 10:00:00,11.3254,106.477,11:02 07/04/2025,,
67f34e42b934fc4abad823bc,Lạng Sơn,Vietnam,69,69,36,5,4,3,6,95.7,18.9,1,2025-04-07 10:00:00,21.8549,106.7615,11:02 07/04/2025,,
67f34e43b934fc4abad823c1,Gia Lai,Vietnam,59,45,59,86,16,2,51,N/A,-19.8,43.2,2025-04-07 10:00:00,13.9833,108,11:02 07/04/2025,,
67f34e43b934fc4abad823c2,Cần Thơ,Vietnam,34,N/A,34,40,1,3,N/A,74.5,29.5,4.6,2025-04-07 09:00:00,10.0452,105.7469,11:02 07/04/2025,,
67f34e43b934fc4abad823c3,Sơn La,Vietnam,10,10,6,N/A,N/A,N/A,N/A,96.9,19.1,1,2025-04-07 08:00:00,21.3167,103.9167,11:02 07/04/2025,,
67f34e43b934fc4abad823c4,Thừa Thiên Huế,Vietnam,37,37,24,6,9,3,26,85.5,24.5,1.5,2025-04-07 10:00:00,16.4667,107.5833,11:02 07/04/2025,,
67f34e43b934fc4abad823c5,Tp Hồ Chí Minh,Vietnam,9,8,9,N/A,N/A,N/A,N/A,60.6,30.8,5,2025-04-07 09:00:00,10.7769,106.7009,11:02 07/04/2025,,
67f34e43b934fc4abad823c6,Nghệ An,Vietnam,56,56,34,56,8,2,43,85.8,22.3,1,2025-04-07 10:00:00,18.6667,105.6667,11:02 07/04/2025,,
67f34e44b934fc4abad823c8,Hưng Yên,Vietnam,109,109,68,2,0,14,1,N/A,N/A,N/A,2025-04-07 10:00:00,20.6464,106.0511,11:02 07/04/2025,,
67f34e44b934fc4abad823c7,Ninh Bình,Vietnam,42,30,42,14,5,1,7,100,20,2,2025-04-07 09:00:00,20.25,105.9667,11:02 07/04/2025,,
67f34e42b934fc4abad823b9,Trà Vinh,Vietnam,64,64,45,5,7,25,8,N/A,N/A,N/A,2025-04-07 10:00:00,9.9472,106.342,11:02 07/04/2025,,
67f34e44b934fc4abad823ca,Bắc Giang,Vietnam,141,141,62,0,0,9,3,N/A,N/A,N/A,2025-04-07 10:00:00,21.2732,106.1947,11:02 07/04/2025,,
67f34e44b934fc4abad823cb,Quảng Ninh,Vietnam,76,76,51,17,N/A,2,9,94,21,3,2025-04-07 10:00:00,20.9511,107.0789,11:02 07/04/2025,,
67f34e44b934fc4abad823c9,Việt Trì,Vietnam,102,102,60,19,N/A,18,13,100,20,2,2025-04-07 10:00:00,21.301,105.401,11:02 07/04/2025,,
67f34e44b934fc4abad823cf,Quảng Nam,Vietnam,63,63,48,0,0,15,1,N/A,N/A,N/A,2025-04-07 10:00:00,15.5678,108.4792,11:02 07/04/2025,,
67f34e44b934fc4abad823d1,Lâm Đồng,Vietnam,47,47,27,6,0,5,0,N/A,N/A,N/A,2025-04-07 10:00:00,11.9404,108.4585,11:02 07/04/2025,,
67f34e44b934fc4abad823cc,Thái Bình,Vietnam,148,148,77,6,0,6,0,N/A,N/A,N/A,2025-04-07 10:00:00,20.4467,106.3366,11:02 07/04/2025,,
67f34e44b934fc4abad823d2,Khánh Hòa,Vietnam,14,5,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-07 10:00:00,12.25,109.1833,11:02 07/04/2025,,
67f34e44b934fc4abad823cd,Thái Nguyên,Vietnam,97,97,67,12,6,N/A,2,100,20,2,2025-04-07 10:00:00,21.5928,105.8442,11:02 07/04/2025,,
67f34e44b934fc4abad823d0,Bình Định,Vietnam,130,87,130,16,0,3,0,N/A,N/A,N/A,2025-04-07 10:00:00,13.7765,109.2237,11:02 07/04/2025,,
67f34e44b934fc4abad823d5,"Hedevej, Frederiks",Denmark,-,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 17:07:16,55.5667,11.4167,11:02 07/04/2025,,
67f34e44b934fc4abad823d7,"Vardevej, Tarm",Denmark,-,3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 17:08:07,55.9083,8.5194,11:02 07/04/2025,,
